Date,Time,Away Team,Home Team,Channel
11/19/2025,8:00 PM,West Georgia,Georgia Tech,ACCNX
11/19/2025,8:00 PM,Central Michigan,Detroit Mercy,ESPN+
11/19/2025,8:00 PM,Marquette,Milwaukee,ESPN+
11/19/2025,8:00 PM,Rice,Princeton,ESPN+
11/19/2025,8:00 PM,Oklahoma State,St. John's,ESPN+
11/19/2025,8:00 PM,Oregon,Washington State,ESPN+
11/19/2025,8:00 PM,East Texas A&M,Oklahoma,SECN+
11/19/2025,8:00 PM,Winthrop,South Carolina,SEC Network
11/19/2025,8:00 PM,Rider,Navy,ESPN+
11/19/2025,8:00 PM,North Alabama,Tennessee State,ESPN+
11/19/2025,8:00 PM,Florida Gulf Coast,George Mason,ESPN+
11/19/2025,8:00 PM,UNC Wilmington,Gardner-Webb,ESPN+
11/19/2025,8:00 PM,Furman,Radford,ESPN+
11/19/2025,8:00 PM,Vermont,High Point,ESPN+
11/19/2025,8:00 PM,Eastern Michigan,Purdue Fort Wayne,ESPN+
11/19/2025,8:00 PM,Boston University,Brown,ESPN+
11/19/2025,8:30 PM,Minnesota,Kansas,ESPN+
11/19/2025,8:30 PM,Loyola New Orleans,New Orleans,ESPN+
11/19/2025,8:30 PM,Mississippi Valley State,Nicholls,ESPN+
11/19/2025,8:30 PM,Arkansas State,Central Arkansas,ESPN+
11/19/2025,8:30 PM,St. Mary's,Lamar,ESPN+
11/19/2025,8:30 PM,Vanderbilt,Western Kentucky,ESPN+
11/19/2025,9:00 PM,Oral Roberts,Nebraska,B1G+
11/19/2025,9:00 PM,Morehead State,Louisville,ACC Network
11/19/2025,9:00 PM,James Madison,Texas,SECN+
11/19/2025,9:00 PM,UTSA,Incarnate Word,ESPN+
11/19/2025,9:00 PM,Wisconsin,UIC,ESPN+
11/19/2025,10:00 PM,Fresno State,Washington,B1G+
11/19/2025,10:00 PM,Cal State Northridge,California Baptist,ESPN+
11/19/2025,10:00 PM,BYU,Montana,ESPN+
11/20/2025,11:30 AM,Appalachian State,West Virginia,ESPN+
11/20/2025,12:00 PM,Saint Joseph's,Columbia,ESPN+
11/20/2025,1:30 PM,Saint Mary's,California,ACCNX
11/20/2025,1:00 PM,Texas State,Texas A&M-Corpus Christi,ESPN+
11/20/2025,12:30 PM,Troy,Missouri,SECN+
11/20/2025,2:00 PM,Florida Atlantic,South Alabama,ESPN+
11/20/2025,4:00 PM,New Hampshire,Army,ESPN+
11/20/2025,7:00 PM,Niagara,Virginia Tech,ACCNX
11/20/2025,7:00 PM,Bethune-Cookman,Maryland,B1G+
11/20/2025,7:00 PM,Davidson,Miami,ESPNU
11/20/2025,7:00 PM,Longwood,Virginia,ACC Network
11/20/2025,7:00 PM,Austin Peay,Chattanooga,ESPN+
11/20/2025,7:00 PM,Binghamton,Akron,ESPN+
11/20/2025,7:30 PM,Davidson,Miami,ESPNU
11/20/2025,7:30 PM,Eastern Illinois,Michigan State,B1G+
11/20/2025,7:30 PM,Cincinnati,Ball State,ESPN+
11/20/2025,7:30 PM,Ohio,Xavier,ESPN+
11/20/2025,7:30 PM,North Florida,Georgia,SECN+
11/20/2025,7:30 PM,Florida State,Florida,SEC Network
11/20/2025,8:00 PM,North Carolina,North Carolina A&T,FloCollege
11/20/2025,8:00 PM,Fordham,Seton Hall,ESPN+
11/20/2025,8:00 PM,Northern Iowa,Creighton,ESPN+
11/20/2025,8:00 PM,Iowa State,Drake,ESPN+
11/20/2025,8:00 PM,Mount St. Mary's,Loyola Maryland,ESPN+
11/20/2025,8:00 PM,Mississippi State,Texas Tech,ESPN+
11/20/2025,8:00 PM,Rutgers,Auburn,SECN+
11/20/2025,8:00 PM,IU Indianapolis,Evansville,ESPN+
11/20/2025,8:00 PM,Howard,Monmouth,FloHoops
11/20/2025,8:30 PM,Houston,UTRGV,ESPN+
11/20/2025,8:30 PM,Tennessee,Middle Tennessee,ESPN+
11/20/2025,8:30 PM,Tarleton,TCU,ESPN+
11/20/2025,8:30 PM,Houston,UT Rio Grande Valley,ESPN+
11/20/2025,8:30 PM,Little Rock,Arkansas,SECN+
11/20/2025,8:30 PM,UL Monroe,Sam Houston,ESPN+
11/20/2025,9:00 PM,Gonzaga,South Dakota State,Midco Sports
11/20/2025,9:00 PM,Alcorn State,LSU,SECN+
11/20/2025,9:00 PM,NC Central,Wake Forest,ACC Network
11/20/2025,9:00 PM,North Carolina Central,Wake Forest,ACC Network
11/20/2025,9:00 PM,Duke,South Florida,ESPNU
11/20/2025,9:00 PM,Bradley,Western Illinois,ESPN+
11/20/2025,9:00 PM,Weber State,Utah Valley,ESPN+
11/20/2025,10:00 PM,Iowa,Baylor,ESPN2
11/20/2025,10:00 PM,San Francisco,Long Beach State,ESPN+
11/20/2025,11:00 PM,UC Davis,Stanford,ACCNX
11/21/2025,12:00 PM,Old Dominion,East Carolina,ESPN+
11/21/2025,12:00 PM,Presbyterian,UNC Wilmington,FloHoops
11/21/2025,1:00 PM,Alabama State,Vanderbilt,SECN+
11/21/2025,5:00 PM,Syracuse,Utah,FS2
11/21/2025,6:00 PM,USC,Notre Dame,ESPN
11/21/2025,7:30 PM,Saint Louis,Illinois State,ESPN+
11/21/2025,7:30 PM,Grambling,DePaul,ESPN+
11/21/2025,8:00 PM,George Washington,Georgetown,ESPN+
11/21/2025,8:00 PM,Yale,Providence,ESPN+
11/21/2025,8:00 PM,Northern Illinois,SIU Edwardsville,ESPN+
11/21/2025,8:00 PM,Canisius,Dayton,ESPN+
